A1;A768;A769;A770;A771;A772;A773;A774;A775;A776;A777;A778;A779;A780;A781;A782;A783;A784;A785;A786;A787;A788;A789;A790;A791;A792;A793;A794;A795;A796;A797;A798;A799;A800;A801;A802;A803;A804;A805;A806;A807;A808;A809;A810;A811;A812;A813;A814;A815;A816;A817;A818;A819;A820;A821;A822;A823;A824;A825;A826;A827;A828;A829;A830;A831;A832;A833;A834;A835;A836;A837;A838;A839;A840;A841;A842;
2703403;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Não;Não;-;-;-;
2703502;Setor subordinado a outra secretaria;Não;Não;Não;Sim;Não;Não;Possui lei;mar/05;-;Sim;2005;Paritário;Sim;Não;Não;Não;0;Não;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
2703601;Setor subordinado a outra secretaria;Não;Não;Não;Sim;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;
2703700;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Não;Não;-;-;-;
2703759;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
2703809;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
2703908;Setor subordinado a outra secretaria;Não;Não;Não;Sim;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Sim;Não;Não;-;-;-;Sim;Sim;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Não;Não;-;-;-;Não;-;-;-;
2704005;Setor subordinado a outra secretaria;Sim;Não;Não;Sim;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
2704104;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Não;Não;-;-;-;
2704203;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Sim;Não;Sim;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Não;Não;-;-;-;
2704302;Setor subordinado a outra secretaria;Não;Não;Não;Sim;Não;Não;Possui lei;jul/93;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;
2704401;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Sim;Sim;Não;-;-;-;
2704500;Setor subordinado a outra secretaria;Sim;Sim;Não;Sim;Não;Sim;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
2704609;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Não informado;-;-;-;Sim;Não;Não;Sim;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Sim;Sim;Não;Não;Sim;Sim;Não;Sim;
2704708;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;
2704807;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
2704906;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
2705002;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Sim;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;
2705101;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
2705200;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;-;-;-;Sim;Sim;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não informado;-;-;-;Não;-;-;-;Não;-;-;-;
2705309;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Não;Não;-;-;-;
2705408;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Sim;Sim;Não;Não;Não informado;-;-;-;
2705507;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
2705606;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;
2705705;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Sim;Sim;Não;Não;Não informado;-;-;-;
2705804;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Sim;Não;Sim;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não informado;-;-;-;Não;-;-;-;Não informado;-;-;-;
2705903;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Sim;Não;Não;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Não;Não;-;-;-;
2706000;Não possui estrutura;-;-;-;-;-;-;Possui lei;out/14;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não informado;-;-;-;Sim;Não;Não;Sim;Não informado;-;-;-;Sim;Não;Não;Sim;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Sim;Sim;Não;Não;Sim;Sim;Não;Não;
2706109;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Sim;Sim;Sim;Não;Não;Não informado;-;-;-;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;
2706208;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;
2706307;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Sim;Sim;Não;-;-;-;
2706406;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não informado;-;-;-;Sim;Sim;Não;Não;Sim;Não;Sim;Não;Não informado;-;-;-;Sim;Não;Sim;Sim;Não informado;-;-;-;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;
2706422;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Sim;Sim;Não;-;-;-;Sim;Não;Sim;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
2706448;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
2706505;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
2706604;Setor subordinado a outra secretaria;Não;Não;Não;Sim;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Sim;Não;Não;Sim;
2706703;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;Sim;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;
2706802;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
2706901;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
2707008;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
2707107;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Sim;Não;Sim;Não;-;-;-;Sim;Não;Sim;Não;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;
2707206;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Sim;Sim;Não;Sim;Sim;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Sim;Sim;Não;Não;Não informado;-;-;-;
2707305;Setor subordinado a outra secretaria;Não;Não;Não;Sim;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não informado;-;-;-;Não;-;-;-;
2707404;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;SECRETARIA MUNICIPAL DE SAÚDE;Não;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Sim;Não;Não;-;-;-;
2707503;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Sim;Sim;Não;-;-;-;Sim;Não;Sim;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Sim;Não;
2707602;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Sim;Sim;Não;Sim;Sim;Sim;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
2707701;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
2707800;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
2707909;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;
2708006;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Não;Não;-;-;-;
2708105;Setor subordinado a outra secretaria;Não;Não;Não;Sim;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Sim;Não;Sim;Sim;Não;Não;Não;-;-;-;Sim;Sim;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;
2708204;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
2708303;Setor subordinado a outra secretaria;Não;Não;Não;Não;Não;Sim;Não possui;-;-;Sim;2001;Paritário;Não;Sim;Não;Sim;12;Não;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
2708402;Setor subordinado a outra secretaria;Sim;Sim;Não;Não;Não;Sim;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Sim;Não;Sim;Não informado;-;-;-;Não informado;-;-;-;Sim;Não;Não;Sim;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Sim;Sim;Sim;Sim;Não informado;-;-;-;
2708501;Setor subordinado a outra secretaria;Não;Não;Não;Sim;Não;Não;Possui lei;jul/09;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
2708600;Setor subordinado a outra secretaria;Não;Não;Não;Sim;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Sim;Não;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;
2708709;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
2708808;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;
2708907;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Não;-;-;-;
2708956;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Não informado;-;-;-;Sim;Sim;Não;Não;Não informado;-;-;-;
2709004;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Sim;Sim;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;
2709103;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;
2709152;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
2709202;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Não;Não;-;-;-;
2709301;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;-;-;-;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Sim;Não;Não;Sim;
2709400;Setor subordinado a outra secretaria;Não;Não;Não;Sim;Não;Não;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Sim;Não;Não;Não;-;-;-;Não;-;-;-;Não informado;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
2800100;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Sim;Sim;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Não;Não;-;-;-;
2800209;Não possui estrutura;-;-;-;-;-;-;Possui lei;dez/03;-;Não;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;
